,title,year,runtime,genre,average rating,total votes,region,language,primary_name,birth_year,death_year,primary_profession,category,job,characters,release date,production_budget,domestic_gross,foreign_gross,worldwide_gross,net gain,studio,original_language,popularity
21756,Burden of My Heart,2011,52,"Documentary,Drama,War",7.4,10,XWW,en,Iris Olsson,,,"director,writer,camera_department",director,,,,,,,,,,,
21760,The Devil's in the Details,2013,100,Thriller,3.8,769,DE,,Waymon Boone,,,"sound_department,director,writer",director,,,,,,,,,,,
21761,The Guga Hunters of Ness,2011,59,Documentary,8.2,8,GB,,Mike Day,,,"cinematographer,producer,director",director,,,,,,,,,,,
21762,"The Tundra Book: A Tale of Vukvukai, the Little Rock",2011,105,"Adventure,Documentary,Drama",7,17,,,Aleksei Vakhrushev,1969,,"director,writer,producer",director,,,,,,,,,,,
21763,The Book of the Sea,2018,85,Documentary,7.3,15,,,Aleksei Vakhrushev,1969,,"director,writer,producer",director,,,,,,,,,,,
21764,"Kumiko, the Treasure Hunter",2014,105,Drama,6.6,10850,US,,David Zellner,1974,,"actor,director,writer",director,,,,,,,,,,,
21766,Damsel,2018,113,"Comedy,Drama,Western",5.6,2253,,,David Zellner,1974,,"actor,director,writer",actor,,"[""Parson Henry""]",,,,,,,,,
21770,Electrick Children,2012,96,Drama,6.8,5361,PL,,Rebecca Thomas,,,"director,writer,actress",director,,,,,,,,,,,
21771,The Guerilla Son,2011,,Documentary,7.7,21,SE,,Zanyar Adami,,,"director,writer,producer",director,,,,,,,,,,,
21775,The Guerilla Son,2011,,Documentary,7.7,21,XWW,en,David Herdies,,,"producer,director,writer",director,,,,,,,,,,,
21779,Gimme the Loot,2012,79,"Comedy,Crime,Drama",6.6,2278,PL,,Adam Leon,,,"writer,director,miscellaneous",director,,,,,,,,,,,
21780,Tramps,2016,82,"Comedy,Romance",6.5,3473,BR,,Adam Leon,,,"writer,director,miscellaneous",director,,,,,,,,,,,
21782,Wolf Children,2012,117,"Animation,Drama,Family",8.1,31619,DE,,Mamoru Hosoda,1967,,"director,art_department,animation_department",director,,,,,,,,,,,
21784,Mirai,2018,98,"Adventure,Animation,Drama",7.1,6696,HK,yue,Mamoru Hosoda,1967,,"director,art_department,animation_department",director,,,,,,,,,,,
21785,Solar Eclipse,2011,81,"Adventure,Documentary",7.6,17,,,Martin Marecek,1974,,"director,miscellaneous,writer",director,,,,,,,,,,,
21786,Teodora the Sinner,2011,86,Documentary,6.9,30,US,,Anca Hirte,1967,,"director,writer,cinematographer",director,,,,,,,,,,,
21787,The Pretty One,2013,90,"Comedy,Drama",6.3,8831,DK,,Jenée LaMarque,1980,,"director,writer,actress",director,,,,,,,,,,,
21788,The Feels,2017,90,"Comedy,Romance",5.2,1140,TR,tr,Jenée LaMarque,1980,,"director,writer,actress",actress,,"[""Nikki"",""Lu's sister""]",,,,,,,,,
21790,On the Outside,2011,79,"Crime,Documentary",6,5,CZ,,Veronika Sobková,,,"writer,director",director,,,,,,,,,,,
21791,Vital Signs,2011,91,"Comedy,Drama,Romance",7.5,13,US,,Jak Kerley,,,"writer,director,editor",director,,,,,,,,,,,
21792,Vorbitor,2011,62,"Documentary,Drama,Romance",8.1,67,XEU,en,Alexandru Baciu,1977,,"writer,director,actor",director,,,,,,,,,,,
21796,Soviet Hippies,2017,75,Documentary,7.1,80,RU,,Terje Toomistu,,,"director,writer,cinematographer",director,,,,,,,,,,,
21797,Torah Codes End to Darkness,2015,65,"Biography,Documentary,History",7.6,7,US,,Richard Shaw,,,"producer,director,cinematographer",director,,,,,,,,,,,
21798,Wither,2012,95,"Horror,Thriller",5.1,1890,BR,,Sonny Laguna,,,"director,writer,visual_effects",director,,,,,,,,,,,
21804,Animalistic,2015,78,"Drama,Horror,Thriller",3.4,435,US,,Sonny Laguna,,,"director,writer,visual_effects",director,,,,,,,,,,,
21810,Wither,2012,95,"Horror,Thriller",5.1,1890,ES,,Tommy Wiklund,,,"director,writer,producer",director,,,,,,,,,,,
21816,Blush of Fruit,2012,82,"Biography,Documentary,Drama",7.8,17,AU,,Jakeb Anhvu,1977,,"director,writer,cinematographer",director,,,,,,,,,,,
21818,Disparos,2012,78,"Action,Crime,Thriller",5.6,141,BR,,Juliana Reis,,,"casting_department,director,writer",director,,,,,,,,,,,
21819,God Help the Girl,2014,112,"Drama,Music,Romance",6.4,8050,PL,,Stuart Murdoch,1968,,"soundtrack,director,writer",director,,,,,,,,,,,
21820,Hell and Back,2015,86,"Adventure,Animation,Comedy",5.4,4356,,,Tom Gianas,,,"writer,producer,director",director,,,,,,,,,,,
21826,Sol LeWitt,2012,87,"Biography,Documentary",5.9,24,NL,,Chris Teerink,,,"editor,director,cinematographer",director,,,,,,,,,,,
21827,An Actor Prepares,2018,97,Comedy,5,388,XWW,en,Steve Clark,,,"producer,director,writer",director,,,,,,,,,,,
21829,Xingu,2011,102,"Action,Adventure,Biography",7.1,1564,PL,,Cao Hamburger,1962,,"writer,director,composer",director,,,,,,,,,,,
21832,Consequences,2014,106,"Crime,Drama,Thriller",6.4,981,RU,,Ozan Açiktan,,,"director,writer,assistant_director",director,,,,,,,,,,,
21835,My Mother's Wound,2016,120,"Drama,Mystery,War",7.4,1940,,,Ozan Açiktan,,,"director,writer,assistant_director",director,,,,,,,,,,,
21841,Stars Above,2012,101,"Drama,History,Romance",6.7,185,XWW,en,Saara Cantell,1968,,"director,writer,casting_director",director,,,,,,,,,,,
21842,Devil's Bride,2016,110,"Drama,History",6,990,FI,,Saara Cantell,1968,,"director,writer,casting_director",director,,,,,,,,,,,
21844,Pipí Mil Pupú 2 Lucas,2012,65,"Comedy,Crime",6.2,101,,,Fernando R. Bencomo,,,"writer,editor,sound_department",actor,,"[""Bartender""]",,,,,,,,,
21846,The Grammar of Happiness,2012,52,Documentary,7.8,93,,,Michael O'Neill,,,"producer,writer,director",director,,,,,,,,,,,
21850,B-Movie: Lust & Sound in West-Berlin 1979-1989,2015,92,"Documentary,Music",7.9,1583,AR,,Heiko Lange,,,"editor,director,producer",director,,,,,,,,,,,
21859,Testamentet,2011,87,Documentary,7.6,203,SE,,Christian Sønderby Jepsen,,,"director,writer,cinematographer",director,,,,,,,,,,,
21860,Blood Ties,2013,83,"Documentary,Drama,Family",7,50,,,Christian Sønderby Jepsen,,,"director,writer,cinematographer",director,,,,,,,,,,,
21866,Natural Disorder,2015,98,Documentary,7.3,68,DK,,Christian Sønderby Jepsen,,,"director,writer,cinematographer",director,,,,,,,,,,,
21867,Mithivedi,2012,86,"Drama,Thriller,War",6.6,14,IN,,Anand Maiyur Srinivas,,,"producer,director,writer",director,,,,,,,,,,,
21870,Brothers,2015,68,Documentary,7.5,61,XWW,en,Wojciech Staron,1973,,"cinematographer,camera_department,director",director,,,,,,,,,,,
21871,Black Shuck,2012,90,Horror,1.6,203,GB,,Paul T.T. Easter,1965,,"actor,director,writer",actor,,"[""David""]",,,,,,,,,
21872,Thumb N It,2012,67,"Crime,Horror",2.3,196,GB,,Paul T.T. Easter,1965,,"actor,director,writer",actor,,"[""Eric""]",,,,,,,,,
21873,Assignment,2013,45,"Crime,Thriller",2.5,209,,,Paul T.T. Easter,1965,,"actor,director,writer",actor,,"[""Richard""]",,,,,,,,,
21874,Cudze listy,2011,56,Documentary,7.1,16,PL,,Maciej J. Drygas,1956,,"writer,director,producer",director,,,,,,,,,,,
21875,Das traurige Leben der Gloria S.,2011,75,"Comedy,Drama",6.9,27,DE,,Christine Groß,,,"director,actress,writer",actress,,"[""Gloria Schneider""]",,,,,,,,,
21879,Berani punya budak,2012,102,"Action,Comedy",3.1,22,MY,,Afdlin Shauki,,,"actor,director,writer",actor,,"[""Tong""]",,,,,,,,,
21880,Jules Dongu Saves the World,2012,90,"Action,Adventure,Animation",7.4,10,US,,Christian Cashmir,,,"writer,director,editor",actor,,"[""Jules Dongu""]",,,,,,,,,
21882,Phnom Penh Lullaby,2011,103,Documentary,5.9,78,,,Pawel Kloc,1971,,"miscellaneous,director,writer",director,,,,,,,,,,,
21884,Superset Me,2012,58,Documentary,7.7,7,AU,,Daniel Widdowson,,,"actor,writer,director",self,,"[""Himself""]",,,,,,,,,
21886,Stand,2014,87,"Drama,Mystery,Romance",6.1,147,RU,,Jonathan Taieb,1986,,"producer,director,writer",director,,,,,,,,,,,
21891,Rubberneck,2012,83,"Drama,Thriller",5.3,415,US,,Alex Karpovsky,,,"actor,director,producer",actor,,"[""Paul Harris""]",,,,,,,,,
21893,Decisions,2015,107,Drama,5,23,US,,Larry Stanley,,,"actor,producer,writer",actor,,"[""Vince""]",,,,,,,,,
21897,Emoticon ;),2014,79,Drama,4.7,58,US,,Livia De Paolis,,,"actress,director,writer",actress,,"[""Elena""]",,,,,,,,,
21899,Gone Dark,2013,78,Action,3,136,US,,Pascal,,,"actor,writer,producer",actor,,"[""Jackie Jack""]",,,,,,,,,
21900,How to Eat Eggnog,2011,59,"Adventure,Comedy",7,6,US,,Dulvlu Spa,,,"director,cinematographer,editor",actor,,"[""Dulvlu Spa""]",,,,,,,,,
21901,Kathmandu,2011,,Family,6.7,18,NP,,Akash Adhikari,,,"director,actor,writer",actor,,"[""Main Lead""]",,,,,,,,,
21903,Keith Lemon: The Film,2012,85,Comedy,2.6,3950,,,Paul Angunawela,,,"director,writer",director,,,,,,,,,,,
21905,Speed: In Search of Lost Time,2012,97,Documentary,6.9,226,AR,,Florian Opitz,1973,,"director,writer",director,,,,,,,,,,,
21906,Reunited,2011,85,"Drama,Family,Romance",7.8,6,US,,Priscilla Adams,,,"producer,actress,writer",actress,,"[""Angel""]",,,,,,,,,
21907,Abby Singer/Songwriter,2015,75,"Biography,Comedy,Music",5.6,44,US,,Onur Tukel,,,"actor,writer,director",actor,,"[""Onur Tukel""]",,,,,,,,,
21909,Snow in Paradise,2014,108,Thriller,4.6,351,GB,,Andrew Hulme,,,"editor,composer,music_department",director,,,,,,,,,,,
21911,The Fight for Water: A Farm Worker Struggle,2014,78,Documentary,8.9,11,US,,Juan Carlos Oseguera,,,"director,writer,cinematographer",self,,"[""Himself - Filmmaker""]",,,,,,,,,
21912,We the Tiny House People,2012,81,Documentary,7.7,123,US,,Kirsten Dirksen,,,"producer,director,cinematographer",director,,,,,,,,,,,
21913,The Turtle's Rage,2012,70,Documentary,7.7,9,,,Pary El-Qalqili,1982,,"director,writer,assistant_director",director,,,,,,,,,,,
21915,Dead End,2011,,Horror,6.1,7,US,,Michael Sorensen,1978,,"producer,actor,camera_department",actor,,"[""Michael""]",,,,,,,,,
21917,Empire of Dust,2011,77,Documentary,7.4,296,BE,,Bram Van Paesschen,,,"editor,director,writer",director,,,,,,,,,,,
21918,When Under Fire: Shoot Back!,2014,70,"Adventure,Documentary,Drama",7.6,14,,,Marc Wiese,1966,,"director,writer",director,,,,,,,,,,,
21919,Water the Mystery of Life,2011,88,"Documentary,Mystery",6.4,40,HR,,Robert Bezbradica,,,"producer,director,writer",director,,,,,,,,,,,
21923,Found,2012,103,"Drama,Horror,Thriller",5.9,3397,US,,Scott Schirmer,,,"director,editor,writer",director,,,,,,,,,,,
21925,Bad Guys,2015,45,"Action,Crime,Drama",7.7,6,US,,Vincent McLean,,,"actor,writer,stunts",actor,,"[""Sal""]",,,,,,,,,
21926,Forbidden Voices,2012,95,Documentary,7.4,44,GR,,Barbara Miller,,,"director,writer,assistant_director",director,,,,,,,,,,,
21927,#Female Pleasure,2018,97,Documentary,7.6,274,ES,,Barbara Miller,,,"director,writer,assistant_director",director,,,,,,,,,,,
21928,A 2nd Chance,2011,90,"Drama,Family,Sport",4.9,688,BR,,Clay Glen,,,"director,writer,producer",director,,,,,,,,,,,
21929,Raising the Bar,2016,93,"Family,Sport",5.7,977,,,Clay Glen,,,"director,writer,producer",director,,,,,,,,,,,
21933,Katinoula,2012,47,"Biography,Documentary",8.2,10,GR,,Myrna Tsapa,,,"director,producer,actress",director,,,,,,,,,,,
21934,Renoir,2012,111,"Biography,Drama,History",6.6,4806,CA,fr,Gilles Bourdos,1963,,"writer,director",director,,,,,,,,,,,
21938,Endangered Species,2017,105,Drama,6.4,192,CZ,,Gilles Bourdos,1963,,"writer,director",director,,,,,,,,,,,
21941,The Betrayal,2011,64,"Documentary,Drama",6.5,20,NO,,Karen Winther,,,"director,writer,cinematographer",self,,"[""Herself""]",,,,,,,,,
21942,The List,2013,90,Thriller,4.2,349,DE,,Klaus Hüttmann,,,"writer,director,actor",director,,,,,,,,,,,
21943,By-standing and Standing-by,2012,73,"Documentary,History",8.4,5,GR,,Fofo Terzidou,,,"director,writer,cinematographer",director,,,,,,,,,,,
21945,"Gangsters, Guns & Zombies",2012,88,"Comedy,Horror",3.9,702,GR,,Matt Mitchell,,,"writer,director,editor",director,,,,,,,,,,,
21947,Meet Me in Montenegro,2014,90,"Comedy,Drama,Romance",6,253,US,,Alex Holdridge,1975,,"actor,writer,director",actor,,"[""Anderson""]",,,,,,,,,
21951,Rumblestrips,2013,85,Drama,5.5,20,US,,John Adams,,,"sound_department,director,actor",actor,,"[""Stranger""]",,,,,,,,,
21955,Knuckle Jack,2013,79,"Crime,Drama",6.5,55,US,,John Adams,,,"sound_department,director,actor",actor,,"[""Jack""]",,,,,,,,,
21959,Halfway to Zen,2016,96,Drama,5.9,23,US,,John Adams,,,"sound_department,director,actor",actor,,"[""Nick""]",,,,,,,,,
21963,Un mundo secreto,2012,87,Drama,5.7,109,MX,,Gabriel Mariño,,,"assistant_director,director,writer",director,,,,,,,,,,,
21964,Ma première fois,2012,95,"Drama,Romance",6.1,1108,DE,,Marie-Castille Mention-Schaar,,,"producer,writer,director",director,,,,,,,,,,,
21965,Once in a Lifetime,2014,105,Drama,7,1400,PL,,Marie-Castille Mention-Schaar,,,"producer,writer,director",director,,,,,,,,,,,
21967,Heaven Will Wait,2016,105,Drama,7.1,656,XWW,en,Marie-Castille Mention-Schaar,,,"producer,writer,director",director,,,,,,,,,,,
21969,Regissören,2011,71,"Comedy,Fantasy,Horror",6.7,29,SE,,Ronny Carlsson,,,"director,writer,editor",actor,,,,,,,,,,,
21971,Eastalgia,2012,93,Drama,6.7,110,UA,,Daria Onyshchenko,,,"director,writer,producer",director,,,,,,,,,,,
21973,The Black Fables,2015,93,"Action,Fantasy,Horror",5.7,117,,,Rodrigo Aragão,1977,,"director,writer,make_up_department",director,,,,,,,,,,,
21993,The Black Forest,2018,98,Horror,5.4,46,BR,,Rodrigo Aragão,1977,,"director,writer,make_up_department",director,,,,,,,,,,,
21994,Soft Gun.,2012,78,"Comedy,Drama",6.7,30,CA,,Alexandra Bégin,,,"art_director,producer,director",actress,,"[""Alex""]",,,,,,,,,
22003,Metal Warrior,2011,100,Musical,8.6,1277,,,Steve Ravic,,,"producer,director,writer",actor,,"[""Blaze Majestic""]",,,,,,,,,
22004,Fireflies,2018,88,Drama,7,80,XWW,en,Bani Khoshnoudi,,,"director,writer,producer",director,,,,,,,,,,,
22005,Tall as the Baobab Tree,2012,82,"Adventure,Drama",7,122,SE,,Jeremy Teicher,,,"director,writer,producer",director,,,,,,,,,,,
22007,Man for a Day,2012,96,Documentary,7.4,47,,,Katarina Peters,,,"director,writer,cinematographer",director,,,,,,,,,,,
22008,Virgin Margarida,2012,90,Drama,6.8,87,SE,,Licinio Azevedo,,,"director,writer,producer",director,,,,,,,,,,,
22010,The Train of Salt and Sugar,2016,93,Adventure,6.9,79,,,Licinio Azevedo,,,"director,writer,producer",director,,,,,,,,,,,
22013,Eksmisja,2012,80,"Documentary,Drama,History",7.1,19,XWW,en,Filip Antoni Malinowski,,,"producer,cinematographer,editorial_department",director,,,,,,,,,,,
22015,Ayynoorum Ayynthum: 500 & 5,2012,120,"Action,Drama,Romance",6,6,IN,ta,Stanzin Raghu,,,"director,writer,producer",director,,,,,,,,,,,
22016,40+2 nädalat,2012,67,Documentary,6.8,5,EE,,Margit Lillak,,,"director,writer,cinematographer",self,,"[""Herself""]",,,,,,,,,
22018,More,2013,82,"Drama,Romance",5.8,19,,,Aleksandra Strelyanaya,1978,,"director,writer,editor",director,,,,,,,,,,,
22019,The Net,2017,75,Drama,5.3,18,PL,,Aleksandra Strelyanaya,1978,,"director,writer,editor",director,,,,,,,,,,,
22020,Miracle,2017,91,"Comedy,Drama",7,420,BG,bg,Egle Vertelyte,,,"writer,director,actor",director,,,,,,,,,,,
22021,Jai Bhim Comrade,2011,199,Documentary,8.6,92,IN,,Anand Patwardhan,1950,,"director,editor,producer",director,,,,,,,,,,,
22022,Intersexion,2012,68,"Biography,Documentary",7.6,85,,,Grant Lahood,1962,,"director,writer,editor",director,,,,,,,,,,,
22023,Pollywogs,2013,79,"Comedy,Drama",6.1,44,US,,Karl Jacob,1979,,"actor,producer,writer",actor,,"[""Dylan""]",,,,,,,,,
22035,Täältä tulee Myyrä,2011,74,Animation,7.3,16,SE,,Zdenek Miler,1921,2011,"director,writer,art_director",director,,,,,,,,,,,
22039,The Sea and the Flying Fish,2015,78,"Drama,Family,Fantasy",6.2,45,IR,,Mehrdad Ghafarzadeh,,,"director,writer,producer",director,,,,,,,,,,,
22041,The Last Step,2012,88,Drama,7.3,1128,XEU,en,Ali Mosaffa,1966,,"actor,producer,director",actor,,"[""Khosro Shahidi""]",,,,,,,,,
22042,Art of Darkness,2012,90,Horror,3.1,233,GB,,Steve Laurence,,,"writer,producer,director",director,,,,,,,,,,,
22046,We Will Say Amen,2012,82,"Comedy,Drama",5.7,39,XWW,en,Saman Salur,,,"director,writer,editor",director,,,,,,,,,,,
22047,Sleepless Night,2012,66,Drama,6.8,96,,,Kun-jae Jang,,,"director,writer,camera_department",director,,,,,,,,,,,
22048,A Midsummer's Fantasia,2014,96,Drama,6.8,79,KR,,Kun-jae Jang,,,"director,writer,camera_department",director,,,,,,,,,,,
22049,When Night Falls,2012,70,Drama,5.6,63,XWW,en,Liang Ying,,,"writer,director,cinematographer",director,,,,,,,,,,,
22050,Rock the Casbah,2012,93,"Action,Drama,History",6.6,307,RU,,Yariv Horowitz,,,"director,producer,writer",director,,,,,,,,,,,
22052,God's Neighbors,2012,102,Drama,6.9,350,,,Meni Yaish,,,"director,writer,actor",director,,,,,,,,,,,
22053,Je fais feu de tout bois,2012,98,Comedy,5.5,17,FR,,Dante Desarthe,1965,,"director,writer,producer",actor,,"[""Daniel Danite""]",,,,,,,,,
22054,Turning Tide,2013,101,"Adventure,Drama,Sport",6.4,2046,HU,,Christophe Offenstein,,,"cinematographer,camera_department,director",director,,,,,,,,,,,
22059,In Fear,2013,85,"Horror,Mystery,Thriller",5.5,8060,BR,,Jeremy Lovering,,,"director,miscellaneous,writer",director,,,,,,,,,,,
22061,The Pluto Moment,2018,110,Drama,6.3,84,XWW,en,Ming Zhang,,,"director,writer,animation_department",director,,,,,,,,,,,
22063,Welcome 2 Karachi,2015,131,"Adventure,Comedy,Crime",4.4,976,RO,,Ashish R. Mohan,,,"assistant_director,actor,casting_director",director,,,,,,,,,,,
22067,Babbo Natale non viene da Nord,2015,100,Comedy,5.5,36,IT,,Maurizio Casagrande,1961,,"actor,director,writer",actor,,"[""Marcello""]",,,,,,,,,
22069,Wild Roses,2017,90,Drama,6.2,151,BR,,Anna Jadowska,1973,,"director,writer,editor",director,,,,,,,,,,,
22070,My Man Is a Loser,2014,95,Comedy,4.4,1217,PE,,Mike Young,,,"writer,producer,director",director,,,,,,,,,,,
22071,Egg and Stone,2012,97,Drama,6,50,XWW,en,Ji Huang,,,"director,writer",director,,,,,,,,,,,
22072,The Foolish Bird,2017,118,Drama,2.8,97,,,Ji Huang,,,"director,writer",director,,,,,,,,,,,
22076,Southwest,2011,128,Drama,7.2,264,XWW,en,Eduardo Nunes,,,"director,editor,writer",director,,,,,,,,,,,
22078,The Bounty,2012,99,"Comedy,Drama",5.5,151,SE,,Chi Keung Fung,,,"writer,actor,director",director,,,,,,,,,,,
22079,Nise: The Heart of Madness,2015,106,"Biography,Drama,History",7.7,1794,SE,,Roberto Berliner,,,"director,producer,writer",director,,,,,,,,,,,
22086,The Divine Comedy,2012,64,,4.6,5,US,,J. LaMont Bryant,,,"writer,actor,producer",actor,,"[""Deon 'Gaga' Waters""]",,,,,,,,,
22092,Smyrna: The Destruction of a Cosmopolitan City - 1900-1922,2012,87,Documentary,8.2,72,GR,,Maria Ilioú,,,"director,writer,producer",director,,,,,,,,,,,
22093,Finding Fanny,2014,102,"Adventure,Comedy,Drama",5.8,5841,XWW,,Homi Adajania,,,"director,writer,actor",director,,,,,,,,,,,
22095,Journey of No Return,2012,100,"Action,Thriller",4,24,XWW,en,François Gérard,,,"producer,director,actor",actor,,"[""Kad""]",,,,,,,,,
22097,Dudes & Dragons,2015,122,"Action,Adventure,Comedy",4.6,808,RO,,Maclain Nelson,1980,,"actor,producer,writer",director,,,,,,,,,,,
22101,Once I Was a Beehive,2015,119,"Comedy,Drama,Family",6.3,984,,,Maclain Nelson,1980,,"actor,producer,writer",director,,,,,,,,,,,
22102,The Wild Pacific,2016,52,Documentary,7.7,36,US,,Michael Watchulonis,,,"producer,writer,director",director,,,,,,,,,,,
22103,Good Kids,2016,86,"Comedy,Drama",6.1,8183,RU,,Chris McCoy,1981,,"writer,director,producer",director,,,,,,,,,,,
22104,Le Noël de Walter et Tandoori,2011,85,"Animation,Comedy,Drama",6.4,22,CA,,Sylvain Viau,,,"producer,writer,director",director,,,,,,,,,,,
22109,Fists of Pride,2012,63,Documentary,7.2,18,CA,fr,Hélène Choquette,,,"director,writer,camera_department",director,,,,,,,,,,,
22111,Chienne de vie,2015,67,Documentary,6.6,9,CA,,Hélène Choquette,,,"director,writer,camera_department",director,,,,,,,,,,,
22112,Closure,2012,72,"Comedy,Drama,Romance",7.9,16,GB,,Joel Hewett,,,"producer,actor,director",actor,,"[""Daniel""]",,,,,,,,,
22114,St. Vincent,2014,102,"Comedy,Drama",7.3,89372,,,Theodore Melfi,1970,,"producer,director,writer",director,,,,,,,,,,,
22115,Hidden Figures,2016,127,"Biography,Drama,History",7.8,171131,LT,,Theodore Melfi,1970,,"producer,director,writer",director,,,,,,,,,,,
22118,The Girls of the Rain,2012,120,Documentary,7.4,20,GR,,Alinda Dimitriou,,2013,"director,writer,producer",director,,,,,,,,,,,
22119,The Foreigner,2012,100,"Comedy,Romance",6.8,1526,RU,,Niki Iliev,,,"actor,director,writer",actor,,"[""Kalin""]",,,,,,,,,
22120,Living Legends,2014,100,"Comedy,Drama,Romance",7.6,1710,,,Niki Iliev,,,"actor,director,writer",actor,,"[""Boyan""]",,,,,,,,,
22123,Wheels,2014,115,Drama,9.3,17308,US,,Donavon Warren,,,"producer,actor,director",actor,,"[""Mickey Cole""]",,,,,,,,,
